periodo,zona_origen,zona_destino,car_opeak,car_peak,tm_opeak,tm_peak
0,a101,a30,15.556,15.556,39.0809,35.6826
0,a101,a31,18.3291,18.3291,38.1515,34.834
0,a101,a32,10.548,10.548,26.9834,24.637
0,a101,a33,13.449,13.449,39.0946,35.6951
0,a101,a34,15.9879,15.9879,36.8777,33.671
0,a101,a35,10.916,10.916,39.0912,35.692
0,a101,a36,14.235,14.235,39.0892,35.6901
0,a101,a37,16.0612,16.0612,39.0952,35.6956
0,a101,a38,10.7119,10.7119,39.0954,35.6958
0,a101,a39,13.1882,13.1882,39.097,35.6972
0,a101,a4,22.1439,22.1439,31.6886,33.2158
0,a101,a40,15.353,15.353,35.117,32.0634
0,a101,a41,13.83,13.83,39.0892,35.6902
0,a101,a42,16.4472,16.4472,24.3243,24.6708
0,a101,a43,19.732,19.732,39.0774,35.6794
0,a101,a44,19.8798,19.8798,39.0888,35.6898
0,a101,a45,24.9711,24.9711,37.0904,37.4566
0,a101,a46,27.0337,27.0337,40.2917,40.5506
0,a101,a47,32.7047,32.7047,48.953,49.0571
0,a101,a48,19.1159,19.1159,37.3509,34.103
0,a101,a49,22.5902,22.5902,39.0893,35.6902
0,a101,a5,18.3522,18.3522,39.0817,35.6833
0,a101,a50,24.4721,24.4721,36.254,36.7081
0,a101,a51,25.9248,25.9248,39.0566,35.6603
0,a101,a52,28.7379,28.7379,42.7785,43.1068
0,a101,a53,31.4064,31.4064,46.5478,47.1095
0,a101,a54,32.9069,32.9069,48.9972,49.3604
0,a101,a55,24.103,24.103,35.8136,36.1545
0,a101,a56,37.6245,37.6245,56.3326,56.4368
0,a101,a57,22.8417,22.8417,39.0846,35.6859
0,a101,a58,25.3258,25.3258,36.2421,37.9888
0,a101,a59,33.3452,33.3452,49.9441,50.0178
0,a101,a6,20.6419,20.6419,29.5392,30.9628
0,a101,a60,19.005,19.005,39.0434,35.6484
0,a101,a61,23.4351,23.4351,33.5365,35.1527
0,a101,a62,26.0727,26.0727,37.3109,39.109
0,a101,a63,27.8118,27.8118,39.7996,41.7177
0,a101,a64,21.2778,21.2778,38.4152,35.0748
0,a101,a65,22.3119,22.3119,31.9291,33.4679
0,a101,a66,25.1049,25.1049,35.926,37.6574
0,a101,a67,19.3149,19.3149,28.5891,28.9724
0,a101,a68,20.353,20.353,29.1258,30.5295
0,a101,a69,16.3875,16.3875,23.4511,24.5813
0,a101,a7,17.8391,17.8391,39.0905,35.6913
0,a101,a70,16.9631,16.9631,24.2747,25.4446
0,a101,a71,20.1132,20.1132,28.7827,30.1698
0,a101,a72,20.1601,20.1601,28.8497,30.2401
0,a101,a73,20.599,20.599,29.4779,30.8985
0,a101,a74,18.4491,18.4491,26.4013,27.6737
0,a101,a75,15.4261,15.4261,39.0376,35.6431
0,a101,a76,18.757,18.757,27.9029,28.1356
0,a101,a77,17.095,17.095,38.8065,35.432
0,a101,a78,19.7562,19.7562,29.4832,29.6343
0,a101,a79,22.4149,22.4149,33.2744,33.6224
0,a101,a8,16.7921,16.7921,39.097,35.6973
0,a101,a80,22.4871,22.4871,39.0951,35.6955
0,a101,a81,24.7022,24.7022,36.7715,37.0533
0,a101,a82,26.0038,26.0038,39.2829,39.0058
0,a101,a83,11.557,11.557,16.5385,17.3356
0,a101,a84,46.6315,46.6315,66.7312,69.9472
0,a101,a85,10.437,10.437,14.9358,15.6556
0,a101,a86,10.3691,10.3691,14.8386,15.5537
0,a101,a87,12.0882,12.0882,39.098,35.6982
0,a101,a88,11.003,11.003,39.0978,35.698
0,a101,a89,13.8699,13.8699,39.0977,35.6979
0,a101,a9,12.8089,12.8089,18.33,19.2134
0,a101,a90,13.717,13.717,39.0974,35.6976
0,a101,a91,14.6124,14.6124,20.9109,21.9187
0,a101,a92,9.69396,9.69396,39.0958,35.6961
0,a101,a93,6.62001,6.62001,39.0887,35.6897
